restaurant,source_html,openrice_rank,openrice_district,openrice_cuisine_tags,openrice_smile,openrice_cry,openrice_bookmarks,openrice_url,google_extracted,google_name,google_rating,google_rating_out_of,google_review_count,google_category,google_price_range_text,google_hours_status,google_place_fid,google_not_found_reason,google_detected_source
合點壽司,working/web/合點壽司.html,18,銅鑼灣,日本菜 | 壽司/刺身,16,0,4K,https://www.openrice.com/zh/hongkong/r-%E5%90%88%E9%BB%9E%E5%A3%BD%E5%8F%B8-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E5%A3%BD%E5%8F%B8-%E5%88%BA%E8%BA%AB-r1124610/,1,合點壽司,4.3,5,116,Sushi restaurant,$150–250,,0x3404010076adcd39:0x88f82d2d3cb67c0d,,
嚴湧帛,working/web/嚴湧帛.html,5,中環,韓國菜,5,1,7K,https://www.openrice.com/zh/hongkong/r-%E5%9A%B4%E6%B9%A7%E5%B8%9B-%E4%B8%AD%E7%92%B0-%E9%9F%93%E5%9C%8B%E8%8F%9C-r1115430/,1,嚴湧帛,4.7,5,219,Korean restaurant,$100–350,,0x3404010055a51ed1:0x326c074f511e6bcc,,
囍八方 (差館上街),working/web/囍八方 (差館上街).html,27,上環,粵菜 (廣東) | 雲吞/餃子,111,3,9K,https://www.openrice.com/zh/hongkong/r-%E5%9B%8D%E5%85%AB%E6%96%B9-%E4%B8%8A%E7%92%B0-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%9B%B2%E5%90%9E-%E9%A4%83%E5%AD%90-r676570/,1,囍八方,4.3,5,215,Dumpling restaurant,$50–100,,0x3404012a5a727fc5:0x7cdbf24dbc6e421f,,
壽喜・關西,working/web/壽喜・關西.html,15,尖沙咀,日本菜 | 火鍋,208,3,16.9K,https://www.openrice.com/zh/hongkong/r-%E5%A3%BD%E5%96%9C%E3%83%BB%E9%97%9C%E8%A5%BF-%E5%B0%96%E6%B2%99%E5%92%80-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E7%81%AB%E9%8D%8B-r890337/,1,Kansai One A5 Wagyu Sukiyaki,4.9,5,150,壽喜燒餐廳,$250–300,,,,
寧記,working/web/寧記.html,8,佐敦,泰國菜,5,1,4K,https://www.openrice.com/zh/hongkong/r-%E5%AF%A7%E8%A8%98-%E4%BD%90%E6%95%A6-%E6%B3%B0%E5%9C%8B%E8%8F%9C-r1125293/,1,Ning Kee 寧記豬腳飯,4.6,5,110,餐廳,$100–150,,,,
尚御潮滷居,working/web/尚御潮滷居.html,10,大角咀,潮州菜,45,4,27.9K,https://www.openrice.com/zh/hongkong/r-%E5%B0%9A%E5%BE%A1%E6%BD%AE%E6%BB%B7%E5%B1%85-%E5%A4%A7%E8%A7%92%E5%92%80-%E6%BD%AE%E5%B7%9E%E8%8F%9C-r543570/,1,尚御潮滷居,4.2,5,263,Restaurant,$150–350,,0x340400b9dceaac8d:0x8c10c6edf089828,,
有團火叉燒事務所,working/web/有團火叉燒事務所.html,30,新蒲崗,粵菜 (廣東) | 燒臘,20,1,4K,https://www.openrice.com/zh/hongkong/r-%E6%9C%89%E5%9C%98%E7%81%AB%E5%8F%89%E7%87%92%E4%BA%8B%E5%8B%99%E6%89%80-%E6%96%B0%E8%92%B2%E5%B4%97-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%87%92%E8%87%98-r995544/,1,有團火叉燒事務所 Sparking Mind Char Siu Studio,4.4,5,99,Restaurant,$50–100,,0x340407005740decb:0x93e43471c22e0ba8,,
狐狸食堂,working/web/狐狸食堂.html,23,佐敦,日本菜 | 酒,132,2,4K,https://www.openrice.com/zh/hongkong/r-%E7%8B%90%E7%8B%B8%E9%A3%9F%E5%A0%82-%E4%BD%90%E6%95%A6-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E9%85%92-r787898/,1,狐狸食堂,4.9,5,35,Restaurant,$150–450,,0x3404010dbf06c16d:0x8823af5223fc9e6a,,
米真鮮 (通菜街),working/web/米真鮮 (通菜街).html,17,旺角,港式 | 粉麵/米線,73,5,9K,https://www.openrice.com/zh/hongkong/r-%E7%B1%B3%E7%9C%9F%E9%AE%AE-%E6%97%BA%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r899259/,1,米真鮮,3.7,5,59,Chinese noodle restaurant,$50–100,,0x3404016e72097641:0x1511aad7eac2d36,,
米青蛋包飯公司,working/web/米青蛋包飯公司.html,26,荔枝角,港式,55,8,10.9K,https://www.openrice.com/zh/hongkong/r-%E7%B1%B3%E9%9D%92%E8%9B%8B%E5%8C%85%E9%A3%AF%E5%85%AC%E5%8F%B8-%E8%8D%94%E6%9E%9D%E8%A7%92-%E6%B8%AF%E5%BC%8F-r881096/,1,米青蛋包飯公司,3.9,5,127,Restaurant,$100–150,,0x3404079696a8439f:0x430e48b5585fedb5,,
美人漁海鮮火鍋放題,working/web/美人漁海鮮火鍋放題.html,11,銅鑼灣,港式 | 火鍋,76,14,15.5K,https://www.openrice.com/zh/hongkong/r-%E7%BE%8E%E4%BA%BA%E6%BC%81%E6%B5%B7%E9%AE%AE%E7%81%AB%E9%8D%8B%E6%94%BE%E9%A1%8C-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%B8%AF%E5%BC%8F-%E4%BB%BB%E9%A3%9F-%E6%94%BE%E9%A1%8C-r1031539/,1,美人漁海鮮火鍋放題 Mermaid Hotpot Buffet,4.8,5,1102,Restaurant,$300–450,,0x3404013c78593e11:0xe10526ea309419bf,,
美滋鍋 (家樂坊),working/web/美滋鍋 (家樂坊).html,19,旺角,港式 | 火鍋,1081,22,87.7K,https://www.openrice.com/zh/hongkong/r-%E7%BE%8E%E6%BB%8B%E9%8D%8B-%E6%97%BA%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E4%BB%BB%E9%A3%9F-%E6%94%BE%E9%A1%8C-r618904/,1,美滋鍋,4.9,5,7719,Hot pot restaurant,$200–300,Closed,0x3404018f399eba77:0x22595ce7c74eb8e8,,
肉屋扒房,working/web/肉屋扒房.html,21,尖沙咀,日本菜,10,1,5K,https://www.openrice.com/zh/hongkong/r-%E8%82%89%E5%B1%8B%E6%89%92%E6%88%BF-%E5%B0%96%E6%B2%99%E5%92%80-%E6%97%A5%E6%9C%AC%E8%8F%9C-r1121426/,1,肉屋·扒房,4.5,5,17,Bistro,,,0x3404017404e7393f:0xf6fb9aa4208ebed5,,
迷你毛,working/web/迷你毛.html,28,深水埗,西式 | 甜品/糖水,411,18,56K,https://www.openrice.com/zh/hongkong/r-%E8%BF%B7%E4%BD%A0%E6%AF%9B-%E6%B7%B1%E6%B0%B4%E5%9F%97-%E8%A5%BF%E5%BC%8F-all-day-breakfast-r700414/,1,迷你毛,3.9,5,365,Cafe,,,0x3404010e27a3d057:0x36fc214f00d1829e,,
集眾菜館,working/web/集眾菜館.html,1,太子,粵菜 (廣東),110,16,16.7K,https://www.openrice.com/zh/hongkong/r-%E9%9B%86%E7%9C%BE%E8%8F%9C%E9%A4%A8-%E5%A4%AA%E5%AD%90-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-r631804/,1,集眾菜館,3.7,5,296,Chinese restaurant,$200–250,Closed,0x34040163cb081259:0xba7489cf53b44b59,,
食知味米線,working/web/食知味米線.html,12,太子,滇菜 (雲南) | 粉麵/米線,3,1,4K,https://www.openrice.com/zh/hongkong/r-%E9%A3%9F%E7%9F%A5%E5%91%B3%E7%B1%B3%E7%B7%9A-%E5%A4%AA%E5%AD%90-%E6%BB%87%E8%8F%9C-%E9%9B%B2%E5%8D%97-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r900432/,0,,,,,,,,,"This saved SERP has no Google local listing titled 食知味米線; the visible local-pack cards are other shops (e.g. 同湯米線 One Bowl Noodles Limited, 黔知味牛肉米線, 米線陣). Aggregate Google rating/review count for 食知味米線 is therefore not extractable from this HTML.",google_serp
